,DAX,SP500,OIL,GOLD,USD_EUR,VOL_DAX,VOL_SP500,REALIZED_VOL_DAX,TASSO_3M_DE,YIELD_10Y_DE,CPI_DE,CORE_CPI_DE,INDPROD_DE,UNEMP_DE,TERM_SPREAD_DE
2014-01-31,9306.48046875,1782.5899658203125,106.4000015258789,1240.0999755859375,0.737529993057251,126856500.0,4059690000.0,0.1380138551220012,0.2920455,1.7559090909,99.48821,97.42345,99.16237,4.8,1.4638635909
2014-02-03,9186.51953125,1741.8900146484375,106.04000091552734,1260.4000244140625,0.7413899898529053,105545400.0,4726040000.0,0.14358045467209013,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-04,9127.91015625,1755.199951171875,105.77999877929688,1251.699951171875,0.7393699884414673,114598200.0,4068410000.0,0.14466338686781788,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-05,9116.3203125,1751.6400146484375,106.25,1257.300048828125,0.739870011806488,95608700.0,3984290000.0,0.14023074871852348,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-06,9256.580078125,1773.4300537109375,107.19000244140625,1257.5999755859375,0.7388200163841248,122685200.0,3825410000.0,0.15257815099300023,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-07,9301.919921875,1797.02001953125,109.56999969482422,1263.300048828125,0.7357199788093567,89003400.0,3775990000.0,0.15183861756612527,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-10,9289.8603515625,1799.8399658203125,108.62999725341797,1274.800048828125,0.734250009059906,59599900.0,3312160000.0,0.1502455928669436,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-11,9478.76953125,1819.75,108.68000030517578,1290.0999755859375,0.7328100204467773,76248400.0,3699380000.0,0.166727563992009,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-12,9540.0,1819.260009765625,108.79000091552734,1295.300048828125,0.7331900000572205,85292300.0,3326380000.0,0.16792216431477713,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-13,9596.76953125,1829.8299560546875,108.7300033569336,1300.4000244140625,0.7358300089836121,93209100.0,3289510000.0,0.15286291735482754,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
2014-02-14,9662.400390625,1838.6300048828125,108.7300033569336,1319.0,0.7310600280761719,91504800.0,3114750000.0,0.15496325729974783,0.2881,1.5585,99.48821,97.9819,99.16237,4.8,1.2704
