data,giorno,allocazione_K,posizione_prec,turnover,operazione,posizione,rendimento_giorno,rendimento_buyhold,equity_agente,equity_buyhold,drawdown_agente
2020-12-01,75,0.5,0.0,0.5,COMPRA,LONG,-0.0030802231697139026,-0.0051604657459057846,107104.46834564209,102588.43898773193,-0.016284358869473742
2020-12-02,76,0.25,0.5,-0.25,VENDE,LONG,-0.0013838163055922559,-0.004535343959881644,106956.2554359436,102123.16513061523,-0.017645640613736278
2020-12-03,77,0.25,0.25,0.0,MANTIENE,LONG,0.0008695806274110485,0.0034784640828360303,107049.26252365112,102478.39689254761,-0.016791404293561234
2020-12-04,78,0.25,0.25,0.0,MANTIENE,LONG,-0.0005256158084745444,-0.0021023645523166046,106992.99573898315,102262.94994354248,-0.01730819427449256
2020-12-07,79,0.25,0.25,0.0,MANTIENE,LONG,0.00014116640890149412,0.0005643218497353164,107008.09955596924,102320.65916061401,-0.017169471201221375
2020-12-08,80,0.0,0.25,-0.25,VENDE,CASH,-0.00024998635324047225,0.004651835271811677,106981.34899139404,102796.63801193237,-0.017415165420969235
2020-12-09,81,0.75,0.0,0.75,COMPRA,LONG,-0.0032534209559220706,-0.0033378533067801586,106633.29362869263,102453.51791381836,-0.020611927512759896
2020-12-10,82,1.0,0.75,0.25,COMPRA,LONG,-0.013895731594091854,-0.013645824315858701,105151.54600143433,101055.4552078247,-0.034221241294497586
2020-12-11,83,1.0,1.0,0.0,MANTIENE,LONG,0.008300880503258723,0.008300906932592556,106024.39641952515,101894.30713653564,-0.02620442722589766
2020-12-14,84,0.0,1.0,-1.0,VENDE,CASH,-0.0010000032606357623,0.010565528175794814,105918.37167739868,102970.8743095398,-0.02717822597386444
2020-12-15,85,0.25,0.0,0.25,COMPRA,LONG,0.003549884823733196,0.015199547385955858,106294.3696975708,104535.98499298096,-0.023724820722051954
2020-12-16,86,0.0,0.25,-0.25,VENDE,CASH,-0.00024998267280262887,0.007465064315505643,106267.79794692993,105316.35284423828,-0.02396887260075872
2020-12-17,87,1.0,0.0,1.0,COMPRA,LONG,-0.003688194446080373,-0.002688301057119258,105875.86164474487,105033.23078155518,-0.02756866518403417
2020-12-18,88,0.0,1.0,-1.0,VENDE,CASH,-0.0009999424647449962,-0.02818748208170263,105769.99187469482,102072.60847091675,-0.028541040569765332
2020-12-21,89,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.01297043808965892,105769.99187469482,103396.53491973877,-0.028541040569765332
2020-12-22,90,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.012603980155715178,105769.99187469482,104699.74279403687,-0.028541040569765332
2020-12-23,91,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0,105769.99187469482,104699.74279403687,-0.028541040569765332
2020-12-24,92,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0,105769.99187469482,104699.74279403687,-0.028541040569765332
2020-12-25,93,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.014944805507915326,105769.99187469482,106264.46008682251,-0.028541040569765332
2020-12-28,94,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0020963396341686646,105769.99187469482,106041.69368743896,-0.028541040569765332
2020-12-29,95,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.003095637283987207,105769.99187469482,105713.42706680298,-0.028541040569765332
