data,giorno,allocazione_K,posizione_prec,turnover,operazione,posizione,rendimento_giorno,rendimento_buyhold,equity_agente,equity_buyhold,drawdown_agente
2020-11-27,73,1.0,1.0,0.0,MANTIENE,LONG,-0.0033383517555427566,-0.0033384194211604212,103057.43217468262,102418.2915687561,-0.011970752332674958
2020-11-30,74,1.0,1.0,0.0,MANTIENE,LONG,0.006857191902357451,0.0068571509715043,103764.1167640686,103120.58925628662,-0.005195646176278248
2020-12-01,75,0.0,1.0,-1.0,VENDE,CASH,-0.0009999580670158048,-0.0051604657459057846,103660.3569984436,102588.43898773193,-0.006190408814986721
2020-12-02,76,1.0,0.0,1.0,COMPRA,LONG,-0.005535289381681241,-0.004535343959881644,103086.56692504883,102123.16513061523,-0.011691432492486137
2020-12-03,77,1.0,1.0,0.0,MANTIENE,LONG,0.003478450720252102,0.0034784640828360303,103445.14846801758,102478.39689254761,-0.008253649844008327
2020-12-04,78,1.0,1.0,0.0,MANTIENE,LONG,-0.0021024226952864877,-0.0021023645523166046,103227.66304016113,102262.94994354248,-0.010338719878543871
2020-12-07,79,1.0,1.0,0.0,MANTIENE,LONG,0.000564475635854933,0.0005643218497353164,103285.93254089355,102320.65916061401,-0.009780080198166227
2020-12-08,80,1.0,1.0,0.0,MANTIENE,LONG,0.004651873006463747,0.004651835271811677,103766.40558242798,102796.63801193237,-0.005173702882777326
2020-12-09,81,1.0,1.0,0.0,MANTIENE,LONG,-0.0033380216822062048,-0.0033378533067801586,103420.03107070923,102453.51791381836,-0.00849445463258355
2020-12-10,82,1.0,1.0,0.0,MANTIENE,LONG,-0.013645782531752304,-0.013645824315858701,102008.78381729126,101055.4552078247,-0.022024323683693826
2020-12-11,83,1.0,1.0,0.0,MANTIENE,LONG,0.008300926585437685,0.008300906932592556,102855.55124282837,101894.30713653564,-0.013906219392248486
2020-12-14,84,1.0,1.0,0.0,MANTIENE,LONG,0.01056553381264047,0.010565528175794814,103942.27504730225,102970.8743095398,-0.0034876122108028207
2020-12-15,85,1.0,1.0,0.0,MANTIENE,LONG,0.015199711903808977,0.015199547385955858,105522.1676826477,104535.98499298096,0.0
2020-12-16,86,1.0,1.0,0.0,MANTIENE,LONG,0.007465000783452913,0.007465064315505643,106309.89074707031,105316.35284423828,0.0
2020-12-17,87,1.0,1.0,0.0,MANTIENE,LONG,-0.0026881828946659914,-0.002688301057119258,106024.11031723022,105033.23078155518,-0.002688182894666021
2020-12-18,88,0.0,1.0,-1.0,VENDE,CASH,-0.001000005959109096,-0.02818748208170263,105918.08557510376,102072.60847091675,-0.0036855006548612234
2020-12-21,89,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.01297043808965892,105918.08557510376,103396.53491973877,-0.0036855006548612234
2020-12-22,90,1.0,0.0,1.0,COMPRA,LONG,0.011603870005052253,0.012603980155715178,107147.14527130127,104699.74279403687,0.0
2020-12-23,91,1.0,1.0,0.0,MANTIENE,LONG,0.0,0.0,107147.14527130127,104699.74279403687,0.0
2020-12-24,92,1.0,1.0,0.0,MANTIENE,LONG,0.0,0.0,107147.14527130127,104699.74279403687,0.0
2020-12-25,93,1.0,1.0,0.0,MANTIENE,LONG,0.014944893022527106,0.014944805507915326,108748.44789505005,106264.46008682251,0.0
2020-12-28,94,1.0,1.0,0.0,MANTIENE,LONG,-0.0020964691513196687,-0.0020963396341686646,108520.46012878418,106041.69368743896,-0.0020964691513196904
2020-12-29,95,1.0,1.0,0.0,MANTIENE,LONG,-0.0030955616807691877,-0.003095637283987207,108184.52835083008,105713.42706680298,-0.005185541082519109
2020-12-30,96,1.0,1.0,0.0,MANTIENE,LONG,0.0,0.0,108184.52835083008,105713.42706680298,-0.005185541082519109
2020-12-31,97,1.0,1.0,0.0,MANTIENE,LONG,0.0,0.0,108184.52835083008,105713.42706680298,-0.005185541082519109
2021-01-01,98,1.0,1.0,0.0,MANTIENE,LONG,0.0005801540377838865,0.0005801834372005654,108247.29204177856,105774.76024627686,-0.004608395457332277
2021-01-04,99,1.0,1.0,0.0,MANTIENE,LONG,-0.005501715170001087,-0.0055017282709514115,107651.74627304077,105192.8162574768,-0.010084756548136412
2021-01-05,100,1.0,1.0,0.0,MANTIENE,LONG,0.017635823022976727,0.017635793696276325,109550.27341842651,107047.97506332397,0.0
2021-01-06,101,1.0,1.0,0.0,MANTIENE,LONG,0.005490251468403429,0.005490301325135727,110151.73196792603,107635.70070266724,0.0
2021-01-07,102,0.0,1.0,-1.0,VENDE,CASH,-0.00099997868010826,0.005819603800451878,110041.5825843811,108262.09783554077,-0.0009999786801082272
2021-01-08,103,1.0,0.0,1.0,COMPRA,LONG,-0.00903373290548315,-0.008033643103376287,109047.49631881714,107392.35877990723,-0.0100246780452841
2021-01-11,104,1.0,1.0,0.0,MANTIENE,LONG,-0.0008323524714276553,-0.0008324153342915697,108956.73036575317,107302.9637336731,-0.010848686451165488
2021-01-12,105,1.0,1.0,0.0,MANTIENE,LONG,0.0010521935944309835,0.0010520790225774235,109071.37393951416,107415.85493087769,-0.00980790777512644
2021-01-13,106,1.0,1.0,0.0,MANTIENE,LONG,0.0035143728065909485,0.0035143793014855707,109454.6914100647,107793.35498809814,-0.0063280036129099845
